Book Id,Title,Author,Author l-f,Additional Authors,ISBN,ISBN13,My Rating,Average Rating,Publisher,Binding,Number of Pages,Year Published,Original Publication Year,Date Read,Date Added,Bookshelves,Bookshelves with positions,Exclusive Shelf,My Review,Spoiler,Private Notes,Read Count,Owned Copies
43465812,The Book of X,Sarah Rose Etter,"Etter, Sarah Rose",,"=""1937512819""","=""9781937512811""",0,4.02,Two Dollar Radio,Paperback,284,2019,2019,,2024/12/03,to-read,to-read (#116),to-read,,,,0,0
164444179,First Lie Wins,Ashley Elston,"Elston, Ashley",,"=""0593492919""","=""9780593492918""",0,4.02,Pamela Dorman Books,Hardcover,340,2024,2024,,2024/10/26,currently-reading,currently-reading (#10),currently-reading,,,,1,0
61246258,Pineapple Street,Jenny   Jackson,"Jackson, Jenny",,"=""059349069X""","=""9780593490693""",0,3.56,Pamela Dorman Books,Hardcover,304,2023,2023,,2024/08/20,currently-reading,currently-reading (#9),currently-reading,,,,1,0
96177642,Is It Ever Just Sex?,Darian Leader,"Leader, Darian",,"=""0241998158""","=""9780241998151""",1,3.62,Penguin,Kindle Edition,284,2023,,,2024/11/12,,,read,,,,1,0
62898932,Penance,Eliza  Clark,"Clark, Eliza",,"=""0571371795""","=""9780571371792""",4,3.89,Faber & Faber,ebook,336,2023,2023,2024/11/28,2024/11/11,,,read,too hard core para mi pero interesante como esta escrito,,,1,0
201033505,She's Always Hungry: Stories,Eliza  Clark,"Clark, Eliza",,"=""0063393263""","=""9780063393264""",3,3.94,Harper Perennial,Paperback,240,2024,2024,2024/11/21,2024/11/11,,,read,,,,1,0
6192737,The Truth About Melody Browne,Lisa Jewell,"Jewell, Lisa",,"=""1846055725""","=""9781846055720""",4,3.84,Century,Paperback,326,2009,2009,,2024/11/07,,,read,,,,1,0
211888922,Make It Make Sense: From Shit You Should Care About's Lucy Blakiston and Bel Hawkins,Bel Hawkins,"Hawkins, Bel",Lucy Blakiston,"=""073365195X""","=""9780733651953""",0,4.38,Hachette Australia,Kindle Edition,279,2024,,,2024/11/12,to-read,to-read (#115),to-read,,,,0,0
216283050,A Year of Living Curiously: 365 Things Really Worth Knowing,Elizabeth Foley,"Foley, Elizabeth",Beth Coates,"=""057138448X""","=""9780571384488""",0,0.0,Faber & Faber,Hardcover,304,2025,,,2024/11/12,to-read,to-read (#114),to-read,,,,0,0
49083140,Boy Parts,Eliza  Clark,"Clark, Eliza",,"=""1910312649""","=""9781910312643""",0,3.75,Influx Press,ebook,304,2020,2020,,2024/11/11,to-read,to-read (#113),to-read,,,,0,0
